exchange,id,data_start
BINANCE,BINANCE_SPOT_ALGO_BNB,2019-06-21
BINANCE,BINANCE_SPOT_ALGO_BTC,2019-06-21
BINANCE,BINANCE_SPOT_ALGO_USDT,2019-06-21
BINANCE,BINANCE_SPOT_RCN_ETH,2017-11-08
BINANCE,BINANCE_SPOT_MTH_ETH,2017-10-13
BINANCE,BINANCE_SPOT_PPT_ETH,2017-12-01
BINANCE,BINANCE_SPOT_DLT_ETH,2017-11-10
BINANCE,BINANCE_SPOT_GTO_USDT,2019-07-01
BINANCE,BINANCE_SPOT_BTS_ETH,2017-11-21
BINANCE,BINANCE_SPOT_DOGE_USDT,2019-07-05
BINANCE,BINANCE_SPOT_DOGE_BTC,2019-07-05
BINANCE,BINANCE_SPOT_SNM_ETH,2017-09-27
BINANCE,BINANCE_SPOT_LSK_BNB,2017-11-22
BINANCE,BINANCE_SPOT_GTO_BNB,2017-12-18
BINANCE,BINANCE_SPOT_DUSK_BTC,2019-07-22
BINANCE,BINANCE_SPOT_DUSK_USDT,2019-07-22
BINANCE,BINANCE_SPOT_ANKR_BTC,2019-07-23
BINANCE,BINANCE_SPOT_ANKR_BNB,2019-07-23
BINANCE,BINANCE_SPOT_ANKR_USDT,2019-07-23
BINANCE,BINANCE_SPOT_RDN_BNB,2017-11-09
BINANCE,BINANCE_SPOT_WIN_USDT,2019-07-31
BINANCE,BINANCE_SPOT_WIN_BNB,2019-07-31
BINANCE,BINANCE_SPOT_WIN_USDC,2019-07-31
BINANCE,BINANCE_SPOT_BCPT_BNB,2017-11-14
BINANCE,BINANCE_SPOT_WABI_ETH,2017-12-12
BINANCE,BINANCE_SPOT_NULS_BNB,2017-11-08
BINANCE,BINANCE_SPOT_HMCN_BTC,2018-08-20
BINANCE,BINANCE_SPOT_RCN_BNB,2017-11-08
BINANCE,BINANCE_SPOT_COS_BNB,2019-08-02
BINANCE,BINANCE_SPOT_COS_BTC,2019-08-02
BINANCE,BINANCE_SPOT_COS_USDT,2019-08-02
BINANCE,BINANCE_SPOT_AMB_BNB,2017-11-10
BINANCE,BINANCE_SPOT_POE_ETH,2017-11-20
BINANCE,BINANCE_SPOT_APPC_ETH,2018-01-05
BINANCE,BINANCE_SPOT_DLT_BNB,2017-11-10
BINANCE,BINANCE_SPOT_DGD_BTC,2017-11-27
BINANCE,BINANCE_SPOT_DGD_ETH,2017-11-27
BINANCE,BINANCE_SPOT_QSP_BNB,2017-11-21
BINANCE,BINANCE_SPOT_INS_ETH,2018-01-15
BINANCE,BINANCE_SPOT_COCOS_USDT,2019-08-21
BINANCE,BINANCE_SPOT_COCOS_BNB,2019-08-21
BINANCE,BINANCE_SPOT_COMET_BNB,2017-12-05
BINANCE,BINANCE_SPOT_MTL_USDT,2019-08-23
BINANCE,BINANCE_SPOT_TOMO_USDT,2019-08-24
